source	target	distance_nm
ARBH	AZSJ	986.28
ARBH	AZUA	947.52
ARBH	CACH	1246.18
ARBH	CACL	1284.29
ARBH	CACS	1284.29
ARBH	CAGH	1250.09
ARBH	CAHP	1270.43
ARBH	CAIM	1267.64
ARBH	CALA	1291.29
ARBH	CALL	1236.02
ARBH	CAMB	1465.24
ARBH	CAPC	1453.73
ARBH	CAPM	1465.24
ARBH	CASD	1250.09
ARBH	CASF	1465.24
ARBH	CASG	1420.73
ARBH	CASH	1246.18
ARBH	CASJ	1267.64
ARBH	CASM	1420.73
ARBH	CASU	1454.28
ARBH	CAUC	1284.29
ARBH	CAUH	1284.29
ARBH	COCH	670.15
ARBH	COPM	676.69
ARBH	COSL	676.69
ARBH	COUC	670.15
ARBH	CTHH	1013.63
ARBH	CTYN	995.29
ARBH	DCCH	774.01
ARBH	DCGU	774.01
ARBH	DCGW	774.01
ARBH	DCWH	774.01
ARBH	DCWR	772.72
ARBH	DEAI	854.02
ARBH	DECC	843.87
ARBH	FLAC	648.93
ARBH	FLCC	805.05
ARBH	FLFH	670.74
ARBH	FLHM	663.23
ARBH	FLJD	818.58
ARBH	FLJM	826.59
ARBH	FLLM	637.34
ARBH	FLMR	818.58
ARBH	FLSH	365.40
ARBH	FLSL	600.18
ARBH	FLTG	648.78
ARBH	FLUF	591.70
ARBH	GAEH	396.94
ARBH	GAEM	396.94
ARBH	GAMC	518.81
ARBH	GAPH	396.94
ARBH	HIQM	3511.40
ARBH	IAIM	415.97
ARBH	IAIV	417.18
ARBH	IAVA	417.18
ARBH	ILCH	469.95
ARBH	ILCM	481.51
ARBH	ILLU	477.08
ARBH	ILMM	328.97
ARBH	ILNM	481.51
ARBH	ILPL	481.51
ARBH	ILSF	379.79
ARBH	ILUC	481.51
ARBH	ILUI	481.51
ARBH	ILVA	475.81
ARBH	INIM	420.69
ARBH	INSV	420.69
ARBH	KSUK	285.47
ARBH	KYJH	379.34
ARBH	KYKC	379.34
ARBH	KYUK	425.81
ARBH	LACH	307.92
ARBH	LAOF	307.92
ARBH	LATU	304.68
ARBH	LAWK	152.77
ARBH	MABI	1093.79
ARBH	MABS	1024.44
ARBH	MABU	1093.79
ARBH	MACH	1093.79
ARBH	MALC	1090.86
ARBH	MAMG	1093.79
ARBH	MANM	1093.79
ARBH	MAPB	1093.79
ARBH	MAUM	1060.73
ARBH	MDJH	799.22
ARBH	MDUM	799.22
ARBH	MEMC	1152.56
ARBH	MIBH	632.54
ARBH	MICH	629.10
ARBH	MIDV	582.65
ARBH	MIHF	629.10
ARBH	MISH	582.65
ARBH	MISJ	629.10
ARBH	MISM	582.65
ARBH	MIUM	604.74
ARBH	MNAN	616.60
ARBH	MNCM	616.60
ARBH	MNHC	616.60
ARBH	MNMC	557.69
ARBH	MNUM	616.60
ARBH	MOBH	254.28
ARBH	MOCG	254.28
ARBH	MOCH	254.28
ARBH	MOCM	283.83
ARBH	MOLH	283.83
ARBH	MORH	283.83
ARBH	MOSL	254.28
ARBH	MOUM	252.79
ARBH	MSUM	181.02
ARBH	NCBG	595.21
ARBH	NCCM	564.13
ARBH	NCDU	659.95
ARBH	NCEC	734.02
ARBH	NCMH	652.25
ARBH	NDMC	820.51
ARBH	NDSL	757.02
ARBH	NECH	427.79
